fileName,score,molFrom,algorithm,runTime,workers,disp,mini_iter,iter,b,m,batch,type,T
88211.mol,37.20247806149209,leastNAD+.mol,minimize,7.553208351135254,,,,,,,molSizeTiming,,
89225.mol,69.63956784808141,evenLessNAD+.mol,minimize,5.995038032531738,,,,,,,molSizeTiming,,
91806.mol,-228.5707220658005,lessNAD+.mol,minimize,6.5837695598602295,,,,,,,molSizeTiming,,
96699.mol,72.28179289723477,evenLessNAD+.mol,minimize,7.460191249847412,,,,,,,molSizeTiming,,
98236.mol,36.358230193745,leastNAD+.mol,minimize,10.017171144485474,,,,,,,molSizeTiming,,
98863.mol,-207.25951480356156,lessNAD+.mol,minimize,7.044717073440552,,,,,,,molSizeTiming,,
2456.mol,65.68783113443882,evenLessNAD+.mol,minimize,5.747657060623169,,,,,,,molSizeTiming,,
2845.mol,69.39029014208568,leastNAD+.mol,minimize,4.59540867805481,,,,,,,molSizeTiming,,
5893.mol,-217.3251115749781,lessNAD+.mol,minimize,7.015799283981323,,,,,,,molSizeTiming,,
6744.mol,232.6579707722827,evenLessNAD+.mol,minimize,4.27608585357666,,,,,,,molSizeTiming,,
11444.mol,41.56775841284044,leastNAD+.mol,minimize,8.591163873672485,,,,,,,molSizeTiming,,
11735.mol,-184.4866422314097,lessNAD+.mol,minimize,5.835718631744385,,,,,,,molSizeTiming,,
12550.mol,58.05425993464413,evenLessNAD+.mol,minimize,5.797527074813843,,,,,,,molSizeTiming,,
18364.mol,-253.16072305879482,lessNAD+.mol,minimize,6.622708559036255,,,,,,,molSizeTiming,,
19505.mol,61.71371810453206,evenLessNAD+.mol,minimize,6.9419214725494385,,,,,,,molSizeTiming,,
19887.mol,43.04184612393098,leastNAD+.mol,minimize,8.428477048873901,,,,,,,molSizeTiming,,
24653.mol,-232.83203412300762,lessNAD+.mol,minimize,6.276746034622192,,,,,,,molSizeTiming,,
25698.mol,51.19262186278462,leastNAD+.mol,minimize,5.804368257522583,,,,,,,molSizeTiming,,
26306.mol,60.560856456071804,evenLessNAD+.mol,minimize,6.7922515869140625,,,,,,,molSizeTiming,,
31065.mol,151.40006530808807,evenLessNAD+.mol,minimize,4.751214981079102,,,,,,,molSizeTiming,,
32712.mol,52.74775606284691,leastNAD+.mol,minimize,7.000227212905884,,,,,,,molSizeTiming,,
33972.mol,-233.94626231500797,lessNAD+.mol,minimize,9.30774188041687,,,,,,,molSizeTiming,,
37867.mol,53.04368754300749,leastNAD+.mol,minimize,5.143234968185425,,,,,,,molSizeTiming,,
45845.mol,45.05397389570966,leastNAD+.mol,minimize,7.968609809875488,,,,,,,molSizeTiming,,
49545.mol,-232.63753192167772,lessNAD+.mol,minimize,15.567049026489258,,,,,,,molSizeTiming,,
52399.mol,43.849926108781574,leastNAD+.mol,minimize,6.545708417892456,,,,,,,molSizeTiming,,
57712.mol,57.41148482400199,leastNAD+.mol,minimize,5.298803806304932,,,,,,,molSizeTiming,,
